notebook,notebook_sri_score,int_op,int_op_reproduced,int_op_sri,float_op,float_op_reproduced,float_op_sri,list_op,list_op_reproduced,list_op_sri,tuple_op,tuple_op_reproduced,tuple_op_sri,set_op,set_op_reproduced,set_op_sri,str_op,str_op_reproduced,str_op_sri,dict_op,dict_op_reproduced,dict_op_sri,array_op,array_op_reproduced,array_op_sri,dataframe_op,dataframe_op_reproduced,dataframe_op_sri,other_op,other_op_reproduced,other_op_sri,image_op,image_op_reproduced,stream_op,stream_op_reproduced
51a5b58b02adb680aa92f82bc9c5be4e713ff499.ipynb,0.811468486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
4f086c4f9b6de1bdfdcea21e8b9ace03123b06c8.ipynb,0.664170484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
6aa8f4d18efb523d946950b32f1e8d792913ac5e.ipynb,0.958519931,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,6,6
71823b15723f14e2465c1dfc8dfc1cd190f57c10.ipynb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
11a0a79c730bfc887ce556cf51e88a2abefcf7dc.ipynb,0.828353282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1
c3a1b46d50a7903015594363dc645b7aa42906b1.ipynb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
7ef09d9ea585e603711af53536a4f5cfc7e25fb3.ipynb,0.813994921,1,1,0,5,5,0,4,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,2
882ad292aeb777276467f6019456d36ac0bb3986.ipynb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,10,10
dca5316eeb8c1b4c282a06c1ad2700c98ce03946.ipynb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
d50e02d82e30da84ae045463c85416e62d787a88.ipynb,0.831610754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
cb36593956e793897828b9a9ffd2dbbe839bb1c5.ipynb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12
3aa2cad7dc0e29ea88bed7d19881a2f9b2ec6da8.ipynb,0.938461538,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,2,0,2,0,0,2,2
0ea5143e7ab0f6eb7d04771238b39edaaa554964.ipynb,0.912401527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
594b885e0cef7d2ee32f30e5faf36f065d3439aa.ipynb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
be5b1d7c6f807a56475cdf5a66ef34f6bcfee5a9.ipynb,0.910165353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2
0fa6aac4250a2de610d385ba328d1b92205746e3.ipynb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
e781d9153cb587317bfec3e9bcf16f48347fca8d.ipynb,0.457656313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,2,0
9e25b494002bf95e7e30df418d8c2423f33f4c60.ipynb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
7e3d2d9484d4b96384361efb29cfe93b1c6040bf.ipynb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
defc752334f2fef4201f84f23eac29456a5749fa.ipynb,0.916806307,5,4,0,0,0,0,2,2,0,7,5,1,0,0,0,0,0,0,0,0,0,58,53,0,0,0,0,0,0,0,0,0,11,9
1717286d6b59f4a3b2f2b0e6bf65b0a2d2c689a4.ipynb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
b17dcc5096c9dd8d31178a0f5b03f1de92da5a5a.ipynb,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,4,4,0,2,2,0,0,0,3,3
8cca42209edf73c9740eb049dee0c0b942dca295.ipynb,0.988627451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14
cfa703d731d3aea27a1c5eab64f4675ec15a82be.ipynb,0.406666667,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,0,0,0,0
